supervoxel_id	root_id	pos_x	pos_y	pos_z	soma_x	soma_y	soma_z	nucleus_id	flow	super_class	cell_class	cell_sub_class	cell_type	hemibrain_type	ito_lee_hemilineage	hartenstein_hemilineage	morphology_group	top_nt	top_nt_conf	side	nerve	vfb_id	fbbt_id	status
78395935578801623	720575940622580212	112936	83320	4686	112936.0	83320.0	4686.0	3255637.0		not_a_neuron	glia							acetylcholine	0.7590550184249878	left				
81209654285759327	720575940621890081	154024	67320	2964	154024.0	67320.0	2964.0	6429846.0		not_a_neuron	glia							acetylcholine	0.8745878338813782	right				
80295341446447533	720575940630009295	140760	75184	1392	140760.0	75184.0	1392.0	5819270.0		not_a_neuron	glia							<NA>		right				
79449885925219257	720575940631840579	128792	59728	2759	128792.0	59728.0	2759.0	4596443.0		not_a_neuron	glia							acetylcholine	0.5211904644966125	center				
81561566994243943	720575940633393121	158968	68384	4777	158968.0	68384.0	4777.0	6891846.0		not_a_neuron	glia							acetylcholine	0.6322697997093201	right				
80858635265327073	720575940612341746	148832	80016	3206	148832.0	80016.0	3206.0	6473736.0		not_a_neuron	glia							acetylcholine	0.6202157139778137	right				
80507272312312659	720575940608662795	143512	86728	1446	143512.0	86728.0	1446.0	5869990.0		not_a_neuron	glia							<NA>		right				
78676379830594900	720575940617084929	117096	67776	5288	117096.0	67776.0	5288.0	3742018.0		not_a_neuron	glia							acetylcholine	0.3975086510181427	left				
79942535787168959	720575940629118714	135744	60936	2485	135744.0	60936.0	2485.0	5157212.0		not_a_neuron	glia							acetylcholine	0.45930221676826477	center				
77762066991527171	720575940623372220	103856	75312	3929	103856.0	75312.0	3929.0	2695141.0		not_a_neuron	glia							gaba	0.40436336398124695	left				
78184691638985869	720575940624604344	110160	80568	2719	110160.0	80568.0	2719.0	3198054.0		not_a_neuron	glia							acetylcholine	0.7923470139503479	left				
77128335909989497	720575940618285273	94600	69160	3464	94600.0	69160.0	3464.0	2123182.0		not_a_neuron	glia							acetylcholine	0.2770874500274658	left				
